gene_symbol,Howard_pvalue,gene_name.x,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,gene_name.y,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
BAZ2B,1.3215e-07,bromodomain adjacent to zinc finger domain 2B,----,+-+-+---,--++--,0.993112208945053,0.0178160126064773,-,0.0356,1.4481594930064,0.013601592,Ding,9.59,1,-0.0416,0.496,0.588,bromodomain adjacent to zinc finger domain 2B,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,3.00542632558325,Enteric neurons,3.13509874745176
SERPING1,2.4511e-06,serpin family G member 1,++++,---+++++,-++-++,0.0183404938900153,0.928024897251059,+,0.0367,1.43555897775555,0.00408470453012042,Ramaker,9.87,1,-0.0416,0.496,0.983,serpin family G member 1,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Vascular and leptomeningeal cells,5.32011632751613,Vascular and leptomeningeal cells,4.13708695278917
STAU1,1.335e-06,staufen double-stranded RNA binding protein 1,+++-,+-++++++,+++-+-,0.0189358907404906,0.980624167484944,+,0.0379,1.42168426527362,0.004673783,Ding,10.2,1,-0.0416,0.496,0.258,staufen double-stranded RNA binding protein 1,motor nucleus of trigeminal nerve,motor nucleus of trigeminal nerve <  trigeminal nuclei  <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,motor nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Cholinergic and monoaminergic neurons,3.64372187714201,Cholinergic and monoaminergic neurons,2.27957428896524
ZHX3,2.344e-07,zinc fingers and homeoboxes 3,++++,--------,--++--,0.833361803263862,0.0195632702839395,-,0.0391,1.40752854920378,0.017922949,Labonte,10.5,1,-0.0416,0.496,0.409,zinc fingers and homeoboxes 3,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Cholinergic and monoaminergic neurons,2.85813733182106,Cholinergic and monoaminergic neurons,2.14018429531549
HSPA1A,8.134e-08,heat shock protein family A (Hsp70) member 1A,----,--+-----,----++,0.996667542713323,0.0201649500828705,-,0.0403,1.3943728530611,0.052021844,Labonte,10.8,1,-0.0416,0.496,0.983,heat shock protein family A (Hsp70) member 1A,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Enteric glia,5.25706923807914,Enteric glia,5.18641512450258
HARS,2.1021e-07,Not_Available,+-+-,+-+-++++,+++-+-,0.020360129892022,0.460790545770196,+,0.0407,1.39018945998326,0.005687828,Ding,11,1,-0.0416,0.496,0.113,Not_Available,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Cholinergic and monoaminergic neurons,3.1938081342907,Sympathetic noradrenergic neurons,3.50987465853632
INPP4B,3.7112e-07,inositol polyphosphate-4-phosphatase type II B,-+++,-+--++--,-+-+--,0.889046141198737,0.0205096505082794,-,0.041,1.38701174443664,0.030551685,Ding,11,1,-0.0416,0.496,0.888,inositol polyphosphate-4-phosphatase type II B,basal nucleus of meynert,basal nucleus of meynert <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter,basal nucleus of meynert <  substantia innominata  < basal forebrain,Cholinergic and monoaminergic neurons,2.85253423089451,Cholinergic and monoaminergic neurons,3.10686119920757
KLC1,2.4595e-10,kinesin light chain 1,+-+-,+++---+-,--+-++,0.0211959876954558,0.848368661174451,+,0.0424,1.3727163456072,0.003812079,Ding,11.4,1,-0.0416,0.496,0.629,kinesin light chain 1,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Cholinergic and monoaminergic neurons,3.53810712032724,Sympathetic cholinergic neurons,2.98086183940725
RHOA,7.1031e-07,ras homolog family member A,-++-,-+++++-+,+--+++,0.0214289136909539,0.856599950198537,+,0.0429,1.36796984869233,0.005285861,Ding,11.5,1,-0.0416,0.496,0.68,ras homolog family member A,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Enteric glia,2.30305152051085,Sympathetic noradrenergic neurons,2.68918059819945
PPP6C,1.0969e-06,protein phosphatase 6 catalytic subunit,++++,++++----,---+-+,0.533526026081837,0.0231294284181739,-,0.0463,1.33480510385681,0.005052903,Ding,12.4,1,-0.0416,0.496,0.577,protein phosphatase 6 catalytic subunit,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,3.92426142099383,Sympathetic cholinergic neurons,2.94432522454954
AREL1,3.0386e-08,apoptosis resistant E3 ubiquitin protein ligase 1,++++,--------,-+++--,0.704132318035837,0.0233650453917962,-,0.0467,1.33040337526126,0.023507959,Not_Available,12.6,1,-0.0416,0.496,0.305,apoptosis resistant E3 ubiquitin protein ligase 1,V,V <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon projecting inhibitory neurons,3.74135869975321,Sympathetic noradrenergic neurons,3.69940043835784
KMT2A,1.2822e-07,lysine methyltransferase 2A,-+-+,----+---,+++---,0.0236986753483049,0.235203565271504,+,0.0474,1.32424593279846,0.001785206,Not_Available,12.7,1,-0.0416,0.496,0.42,lysine methyltransferase 2A,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,3.78730180389794,Cholinergic and monoaminergic neurons,3.17745070473879
ZNF536,1.6243e-06,zinc finger protein 536,----,-+++---+,---+++,0.395776753291977,0.0252553174159031,-,0.0505,1.29661717311866,0.0126016847177931,Ramaker,13.6,1,-0.0416,0.496,0.527,zinc finger protein 536,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Telencephalon inhibitory interneurons,2.76402611732913,Telencephalon inhibitory interneurons,2.84477685813301
SLC30A9,2.6189e-07,solute carrier family 30 member 9,-+++,++++--+-,++---+,0.0256710764316764,0.990412186562945,+,0.0513,1.28952592458021,0.02130154,Labonte,13.8,1,-0.0416,0.496,0.345,solute carrier family 30 member 9,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Cholinergic and monoaminergic neurons,4.20604828764965,Cholinergic and monoaminergic neurons,2.53826229017514
ZDHHC5,3.4657e-08,zinc finger DHHC-type palmitoyltransferase 5,+++-,------+-,++----,0.953080699015058,0.0259102516086762,-,0.0518,1.28549837399284,0.064776592,Ding,13.9,1,-0.0416,0.496,0.262,zinc finger DHHC-type palmitoyltransferase 5,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Cholinergic and monoaminergic neurons,2.98579648907917,Sympathetic cholinergic neurons,3.2110028692152
HIST1H2BF,3.5839e-08,Not_Available,--++,++++++++,Filtered_Out,0.0280424051433513,0.849892237607662,+,0.0561,1.25115474483846,0.01036763,Labonte,15.1,1,-0.0416,0.496,Not_Available,Not_Available,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Ependymal cells,4.14563948842201,Ependymal cells,3.28000311007773
ASXL3,2.0589e-06,ASXL transcriptional regulator 3,-+-+,----+++-,+++--+,0.0439796679360481,0.0286750049994407,-,0.0574,1.24146650204417,0.002256491,Labonte,15.4,1,-0.0416,0.496,0.787,ASXL transcriptional regulator 3,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Cholinergic and monoaminergic neurons,2.93661225160883,Peripheral sensory non-peptidergic neurons,3.94108342751378
TCF4,4.5521e-16,transcription factor 4,++-+,-+----+-,+-++-+,0.0289465643961288,0.0654759256974341,+,0.0579,1.23737297866789,0.002236053,Labonte,15.6,1,-0.0416,0.496,0.968,transcription factor 4,VIIB,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon inhibitory interneurons,4.0084051754747,Telencephalon inhibitory interneurons,3.77388307459323
ZKSCAN8,2.0086e-13,zinc finger with KRAB and SCAN domains 8,-+-+,+++-----,Filtered_Out,0.939599111007829,0.0304615605241278,-,0.0609,1.21521785616799,0.037615917,Labonte,16.4,1,-0.0416,0.496,0.45,zinc finger with KRAB and SCAN domains 8,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Hindbrain neurons,4.01943544922757,Hindbrain neurons,4.10962598131774
MARK3,2.6768e-07,microtubule affinity regulating kinase 3,+++-,+-+-+---,+-++--,0.639861200199157,0.0305222384627928,-,0.061,1.21435362327107,0.034033973,Labonte,16.4,1,-0.0416,0.496,0.125,microtubule affinity regulating kinase 3,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Hindbrain neurons,2.44971169933105,Peripheral sensory neurofilament neurons,2.27828077755344
C3orf84,2.5336e-07,chromosome 3 open reading frame 84,+-++,Not_Available,Not_Available,0.0307511108550153,0.956950958072611,+,0.0615,1.2111091954607,0.0366523586087485,Ramaker,16.5,1,-0.0416,0.496,Not_Available,chromosome 3 open reading frame 84,subcuneiform nucleus,subcuneiform nucleus <  midbrain reticular formation  <  midbrain tegmentum  <  mesencephalon  < gray matter,subcuneiform nucleus < midbrain reticular formation,Telencephalon projecting inhibitory neurons,4.07045432829706,Telencephalon projecting inhibitory neurons,4.45555292702574
CAMKK2,1.8833e-06,calcium/calmodulin dependent protein kinase kinase 2,+++-,-+-+++++,++----,0.100137507141134,0.0312106264253702,-,0.0624,1.20466751890198,0.002338858,Ding,16.8,1,-0.0416,0.496,0.565,calcium/calmodulin dependent protein kinase kinase 2,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,4.55248354135044,Telencephalon projecting excitatory neurons,4.56797675895
CTTNBP2,1.261e-07,cortactin binding protein 2,-+-+,+-+-----,+--++-,0.773915997394584,0.0321835668040607,-,0.0644,1.19133583040643,0.040096248,Labonte,17.3,1,-0.0416,0.496,0.808,cortactin binding protein 2,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Telencephalon projecting excitatory neurons,2.60885562836684,Telencephalon projecting excitatory neurons,2.85629697658472
RABEPK,1.5581e-06,Rab9 effector protein with kelch motifs,+-+-,-++-++++,-----+,0.149648474367481,0.0326228565442192,-,0.0652,1.18544801798505,0.011639513,Ding,17.6,1,-0.0416,0.496,0.136,Rab9 effector protein with kelch motifs,zona incerta,zona incerta <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,zona incerta <  ventral thalamus  < thalamus,Telencephalon inhibitory interneurons,1.92644249067401,Sympathetic cholinergic neurons,3.30391231298682
MR1,6.2536e-08,"major histocompatibility complex, class I-related",++++,++++----,--+-++,0.035929464564791,0.522174959464811,+,0.0719,1.1435192591127,0.043640075,Ding,19.3,1,-0.0416,0.496,0.814,"major histocompatibility complex, class I-related",central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Choroid epithelial cells,3.60550676538055,Choroid epithelial cells,3.9352029346417
ZCCHC7,4.1883e-12,zinc finger CCHC-type containing 7,++--,+---++++,+-++++,0.0362740867906995,0.956403881039164,+,0.0725,1.13937351656194,0.05196236,Ding,19.5,1,-0.0416,0.496,0.646,zinc finger CCHC-type containing 7,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Hindbrain neurons,3.44139069470504,Hindbrain neurons,3.13901441237523
PLCL1,7.7924e-07,phospholipase C like 1 (inactive),-+--,++++----,-----+,0.444170195216326,0.0371647570617179,-,0.0743,1.12883870608041,0.019769308,Labonte,20,1,-0.0416,0.496,0.831,phospholipase C like 1 (inactive),inferior olivary complex,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter,Oligodendrocytes,3.74231229931164,Oligodendrocytes,3.5006278468572
USP3,2.4852e-06,ubiquitin specific peptidase 3,-+--,+++-----,--++--,0.874837544476937,0.0373431909607946,-,0.0747,1.12675857884683,0.012310163,Labonte,20.1,1,-0.0416,0.496,0.564,ubiquitin specific peptidase 3,V lateral hemisphere,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Hindbrain neurons,2.61965211656607,Enteric neurons,3.21797612618307
PQLC2L,7.0543e-09,Not_Available,+++-,--+-----,Filtered_Out,0.815173171086104,0.0377931835564161,-,0.0756,1.12155652753543,0.016788057,Labonte,20.3,1,-0.0416,0.496,0.761,Not_Available,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Not_Available,Not_Available,Not_Available,Not_Available
ZNF165,1.9547e-12,zinc finger protein 165,--++,--+-++++,Filtered_Out,0.0380449267037859,0.85039206315306,+,0.0761,1.11867325259736,0.058737725,Labonte,20.5,1,-0.0416,0.496,0.958,zinc finger protein 165,dentate nucleus,dentate nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter,dentate nucleus < cerebellar nuclei,Not_Available,Not_Available,Not_Available,Not_Available
DENND1A,1.5351e-14,DENN domain containing 1A,+-++,----++++,-++---,0.366173424409588,0.038692692418819,-,0.0774,1.11134105331851,0.007451938,Labonte,20.8,1,-0.0416,0.496,0.599,DENN domain containing 1A,basolateral nucleus,basolateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,basolateral nucleus < amygdala,Cholinergic and monoaminergic neurons,2.87396729572261,Cholinergic and monoaminergic neurons,2.84876785804461
FADS2,1.9429e-08,fatty acid desaturase 2,++--,+-+-----,+-----,0.984281892651951,0.0411152996155975,-,0.0822,1.08496654493659,0.085617322,Ding,22.1,1,-0.0416,0.496,0.768,fatty acid desaturase 2,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Satellite glia,4.9914512447236,Satellite glia,5.30636788248189
NOX4,1.1568e-06,NADPH oxidase 4,++--,+++++++-,Filtered_Out,0.0418674737504279,0.715557378006097,+,0.0837,1.07709324763272,0.036399682,Labonte,22.5,1,-0.0416,0.496,0.906,NADPH oxidase 4,abducens nucleus,abducens nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,abducens nucleus < pontine tegmentum,Spinal cord inhibitory neurons,3.06461486056945,Enteric neurons,4.55638009065575
BTN2A1,6.6923e-12,butyrophilin subfamily 2 member A1,--+-,--+-----,-+-+-+,0.939206332493798,0.0425667022949218,-,0.0851,1.06989999828839,0.008905346,Labonte,22.9,1,-0.0416,0.496,0.42,butyrophilin subfamily 2 member A1,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
BTN3A2,3.9579e-13,butyrophilin subfamily 3 member A2,+---,+-+----+,------,0.997271704234369,0.0453658371539565,-,0.0907,1.04224107483882,0.089452903,Ding,24.4,1,-0.0416,0.496,0.845,butyrophilin subfamily 3 member A2,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Not_Available,Not_Available,Not_Available,Not_Available
ZFHX4,5.2705e-09,zinc finger homeobox 4,----,--+-----,+-++++,0.691000216713004,0.0462246896548416,-,0.0924,1.03409600027857,0.025295412,Ding,24.9,1,-0.0416,0.496,0.799,zinc finger homeobox 4,subthalamic nucleus,subthalamic nucleus <  subthalamus  <  diencephalon  < gray matter,subthalamic nucleus < subthalamus,Cholinergic and monoaminergic neurons,4.59560279366769,Cholinergic and monoaminergic neurons,4.22953199576822
BAG5,9.1836e-07,BAG cochaperone 5,-++-,-+++----,--+-+-,0.894981261339967,0.0480264014346316,-,0.0961,1.01748995768522,0.018796161,Ding,25.8,1,-0.0416,0.496,0.595,BAG cochaperone 5,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Schwann cells,4.74994301763411,Sympathetic cholinergic neurons,3.08399659801482
C1QTNF7,2.6076e-06,C1q and TNF related 7,--+-,----+++-,Filtered_Out,0.918222303917846,0.0511378761542108,-,0.102,0.990227317283566,0.035265047,Labonte,27.5,1,-0.0416,0.496,0.915,C1q and TNF related 7,central nucleus,central nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,central nucleus < amygdala,Vascular smooth muscle cells,5.39118336166938,Sympathetic cholinergic neurons,5.94818233010013
KIAA1143,4.9967e-07,KIAA1143,-+--,++++-++-,--++++,0.0515209468673103,0.353169293189738,+,0.103,0.986986168317548,0.007041498,Labonte,27.7,1,-0.0416,0.496,0.409,KIAA1143,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Telencephalon projecting excitatory neurons,2.24377396293815,Sympathetic noradrenergic neurons,3.10909852231817
CHMP3,4.004e-07,charged multivesicular body protein 3,++++,++++++++,-+--++,0.0516745994042664,0.837418331695771,+,0.103,0.985692885794138,0.059323219,Labonte,27.8,1,-0.0416,0.496,Not_Available,charged multivesicular body protein 3,claustrum,claustrum <  cerebral nuclei  <  telencephalon  < gray matter,claustrum < cerebral nuclei,Cholinergic and monoaminergic neurons,3.76828831495249,Sympathetic cholinergic neurons,3.23083923103447
MED19,1.7536e-07,mediator complex subunit 19,+-+-,++--++++,-+++-+,0.0523981102392956,0.94408893725204,+,0.105,0.979654380089803,0.010293157,Labonte,28.2,1,-0.0416,0.496,0.125,mediator complex subunit 19,CA4 field,CA4 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA4 field <  hippocampal formation  < limbic lobe,Ependymal cells,2.20577960467865,Sympathetic cholinergic neurons,2.75665720184329
TMX2,1.4874e-07,thioredoxin related transmembrane protein 2,+++-,++++---+,Not_Available,0.0547513446224242,0.957456648284471,+,0.11,0.960575214980423,0.035077353,Labonte,29.5,1,-0.0416,0.496,0.238,thioredoxin related transmembrane protein 2,subthalamic nucleus,subthalamic nucleus <  subthalamus  <  diencephalon  < gray matter,subthalamic nucleus < subthalamus,Cholinergic and monoaminergic neurons,3.21900484937128,Sympathetic noradrenergic neurons,3.31975245299273
ZSCAN9,8.2837e-13,zinc finger and SCAN domain containing 9,-+++,-++-++++,Filtered_Out,0.0612845853999167,0.993368495815122,+,0.123,0.911618751964424,0.077200373,Labonte,33,1,-0.0416,0.496,0.315,zinc finger and SCAN domain containing 9,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
ZNF501,5.3546e-07,zinc finger protein 501,-+--,--+-+---,Filtered_Out,0.987448980942508,0.0616476394482481,-,0.123,0.909053552669918,0.064347101,Labonte,33.2,1,-0.0416,0.496,0.179,zinc finger protein 501,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
FAM120A,3.6663e-08,family with sequence similarity 120A,---+,----+-+-,+++-++,0.0635886133289169,0.135237684744962,+,0.127,0.895590649869246,0.037996298,Labonte,34.2,1,-0.0416,0.496,0.649,family with sequence similarity 120A,inferior olivary complex,inferior olivary complex <  myelencephalon  < gray matter,inferior olivary complex <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,3.35098614265464,Enteric neurons,2.57443704514341
HARS2,1.3511e-06,"histidyl-tRNA synthetase 2, mitochondrial",++++,+++--++-,+++---,0.0660037822016185,0.973035966115929,+,0.132,0.879401181790681,0.03920618,Ding,35.5,1,-0.0416,0.496,0.143,"histidyl-tRNA synthetase 2, mitochondrial",VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,2.57552851139088,Cholinergic and monoaminergic neurons,2.17146476079399
OR2B2,2.7942e-12,olfactory receptor family 2 subfamily B member 2,+++-,Not_Available,Filtered_Out,0.0677109312043372,0.591051012749293,+,0.135,0.868311217800088,0.0336096061073688,Ramaker,36.4,1,-0.0416,0.496,0.0751,olfactory receptor family 2 subfamily B member 2,hypoglossal nucleus,hypoglossal nucleus <  myelencephalon  < gray matter,hypoglossal nucleus <  myelencephalon  < gray matter,Hindbrain neurons,5.57048499058233,Hindbrain neurons,6.08486984459331
PCDHA3,1.056e-07,protocadherin alpha 3,-+-+,+++++-+-,Filtered_Out,0.069251010723038,0.71617580963459,+,0.139,0.858543887996863,0.067578583,Labonte,37.3,1,-0.0416,0.496,0.0941,protocadherin alpha 3,midbrain raphe nuclei,midbrain raphe nuclei <  midbrain tegmentum  <  mesencephalon  < gray matter,midbrain raphe nuclei < midbrain tegmentum,Cholinergic and monoaminergic neurons,3.82520183583016,Cholinergic and monoaminergic neurons,3.76612977790557
IGSF6,1.5616e-09,immunoglobulin superfamily member 6,---+,++++++++,Filtered_Out,0.0719529312358898,0.923294472756467,+,0.144,0.841921513309518,0.044139254,Labonte,38.7,1,-0.0416,0.496,0.904,immunoglobulin superfamily member 6,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,Perivascular macrophages,5.21106831203813,Perivascular macrophages,5.69320947447033
OR12D3,1.202e-09,olfactory receptor family 12 subfamily D member 3,-+++,Not_Available,Filtered_Out,0.0742525116341266,0.972710381688876,+,0.149,0.828258855836422,0.218482281837374,Ramaker,39.9,1,-0.0416,0.496,0.0523,olfactory receptor family 12 subfamily D member 3,lateral tuberal nucleus,lateral tuberal nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,lateral tuberal nucleus < tuberal region,Gene detected; No expression measured,Not_Available,Vascular endothelial cells,Not_Available
FADS1,1.2518e-07,fatty acid desaturase 1,++--,+++-----,--++-+,0.890359856008137,0.0744842445961145,-,0.149,0.826905586736727,0.071401741,Labonte,40.1,1,-0.0416,0.496,0.866,fatty acid desaturase 1,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Satellite glia,3.13385409696618,Satellite glia,2.64161538223522
PCNP,2.3346e-07,PEST proteolytic signal containing nuclear protein,-+++,++-+-+-+,---+-+,0.0771984561655717,0.104503723685797,+,0.154,0.811361389045326,0.013082865,Ding,41.5,1,-0.0416,0.496,0.406,PEST proteolytic signal containing nuclear protein,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Cholinergic and monoaminergic neurons,3.77531494749186,Enteric neurons,4.12396423066094
ZNF184,3.3378e-08,zinc finger protein 184,+++-,----+-+-,+++---,0.651636131921679,0.0773086591442331,-,0.155,0.810741863484421,0.016954203,Labonte,41.6,1,-0.0416,0.496,0.368,zinc finger protein 184,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Non-glutamatergic neuroblasts,3.29333983815876,Non-glutamatergic neuroblasts,3.28351880097876
TMEM258,5.5471e-07,transmembrane protein 258,----,+++-++++,---+--,0.333516817274707,0.077572257402437,-,0.155,0.809263574460006,0.023539607,Not_Available,41.7,1,-0.0416,0.496,0.218,transmembrane protein 258,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,2.45901448243735,Sympathetic noradrenergic neurons,4.05633443300144
MAP9,7.1456e-07,microtubule associated protein 9,++++,++-+----,-+-+++,0.0779885679839942,0.781335133364151,+,0.156,0.806939058380662,0.010768352,Ding,42,1,-0.0416,0.496,0.931,microtubule associated protein 9,medial mammillary nucleus,medial mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,medial mammillary nucleus <  mammillary body  < mammillary region,Cholinergic and monoaminergic neurons,3.44191335187268,Cholinergic and monoaminergic neurons,2.81388160029267
TOPAZ1,3.5999e-07,testis and ovary specific PAZ domain containing 1,-+++,++++---+,Not_Available,0.0781347086670749,0.987426827221285,+,0.156,0.806126007154195,0.101384327,Labonte,42,1,-0.0416,0.496,Not_Available,testis and ovary specific PAZ domain containing 1,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Hindbrain neurons,3.82217680957343,Peripheral sensory non-peptidergic neurons,4.72309099499653
