gene_symbol,Howard_pvalue,gene_name.x,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,min_p_study,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,gene_name.y,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cns_cell_type_taxon_zscore,cell_type_taxon,cell_type_taxon_zscore
SEMA6D,4.0971e-09,semaphorin 6D,--+,-++-+-,+-++,0.0200775690010972,0.782672425697951,+,0.0402,1.39625887720382,0.017508427,Ding,10.8,1,-0.082,0.18,0.981,semaphorin 6D,substantia nigra pars compacta,substantia nigra pars compacta <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars compacta < substantia nigra,Hindbrain neurons,2.92414767067453,Sympathetic cholinergic neurons,3.0507872490882
ASCC3,8.9097e-08,activating signal cointegrator 1 complex subunit 3,+++,+++---,-++-,0.0203007297950822,0.635328273901503,+,0.0406,1.39145835360113,0.0190752447065901,Ramaker,10.9,1,-0.082,0.18,0.774,activating signal cointegrator 1 complex subunit 3,dentate gyrus,dentate gyrus <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,2.90406630195862,Enteric neurons,2.8330673764006
SLC30A9,2.6189e-07,solute carrier family 30 member 9,-++,++++-+,++--,0.0205181233295471,0.876029330142416,+,0.041,1.38683236840763,0.02130154,Labonte,11,1,-0.082,0.18,0.345,solute carrier family 30 member 9,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Cholinergic and monoaminergic neurons,4.20604828764965,Cholinergic and monoaminergic neurons,2.53826229017514
AP3B1,3.1457e-07,adaptor related protein complex 3 subunit beta 1,--+,++++++,--+-,0.0224747330198356,0.259111476623035,+,0.0449,1.34727546293858,0.023224813,Ding,12.1,1,-0.082,0.18,0.379,adaptor related protein complex 3 subunit beta 1,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Choroid epithelial cells,2.82888960953247,Sympathetic noradrenergic neurons,2.41682075189858
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+++,++++++,+---,0.0228918250820236,0.754325591919455,+,0.0458,1.33928958556036,0.011802341,Ding,12.3,1,-0.082,0.18,0.582,arginine and serine rich coiled-coil 1,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Di- and mesencephalon excitatory neurons,2.62208686879822,Sympathetic cholinergic neurons,4.67423024890706
DLST,8.8708e-10,dihydrolipoamide S-succinyltransferase,+++,--+-++,Not_Available,0.0240347960644811,0.841341331504425,+,0.0481,1.31812956284935,0.0205952997499381,Ramaker,12.9,1,-0.082,0.18,0.26,dihydrolipoamide S-succinyltransferase,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Hindbrain neurons,3.72501634524872,Peripheral sensory neurofilament neurons,4.18562972777196
SGIP1,1.6751e-09,SH3GL interacting endocytic adaptor 1,-++,-----+,-+--,0.575894877083474,0.0241039028029896,-,0.0482,1.31688263692405,0.009448596,Ding,13,1,-0.082,0.18,0.823,SH3GL interacting endocytic adaptor 1,CA4 field,CA4 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA4 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,2.60562290254158,Enteric neurons,3.3600428279968
TMX2,1.4874e-07,thioredoxin related transmembrane protein 2,+-+,++++-+,Not_Available,0.0254495461974192,0.969727361708478,+,0.0509,1.29328996169915,0.035077353,Labonte,13.7,1,-0.082,0.18,0.238,thioredoxin related transmembrane protein 2,subthalamic nucleus,subthalamic nucleus <  subthalamus  <  diencephalon  < gray matter,subthalamic nucleus < subthalamus,Cholinergic and monoaminergic neurons,3.21900484937128,Sympathetic noradrenergic neurons,3.31975245299273
TCF4,4.5521e-16,transcription factor 4,+-+,-+--+-,+-++,0.0260630282028407,0.39855092000803,+,0.0521,1.28294513035854,0.004359551,Ding,14,1,-0.082,0.18,0.968,transcription factor 4,VIIB,VIIB <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon inhibitory interneurons,4.0084051754747,Telencephalon inhibitory interneurons,3.77388307459323
ETFDH,1.4397e-06,electron transfer flavoprotein dehydrogenase,+-+,+++-++,+--+,0.0261138020281705,0.91727566252545,+,0.0522,1.2820998969847,0.007798596,Ding,14,1,-0.082,0.18,0.678,electron transfer flavoprotein dehydrogenase,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Choroid epithelial cells,3.66003261839083,Sympathetic cholinergic neurons,4.06593704014729
SF3B1,1.7831e-08,splicing factor 3b subunit 1,--+,+++-++,+-+-,0.027732652673115,0.269844021183907,+,0.0555,1.25597859180118,0.010551779,Ding,14.9,1,-0.082,0.18,0.542,splicing factor 3b subunit 1,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Telencephalon projecting excitatory neurons,1.95965373686169,Enteric neurons,2.7602558536192
PCNP,2.3346e-07,PEST proteolytic signal containing nuclear protein,-++,++-+-+,----,0.403773085871003,0.034058660906583,-,0.0681,1.16674243564526,0.023876479,Labonte,18.3,1,-0.082,0.18,0.406,PEST proteolytic signal containing nuclear protein,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Cholinergic and monoaminergic neurons,3.77531494749186,Enteric neurons,4.12396423066094
KYNU,2.379e-06,kynureninase,+--,-+++++,Filtered_Out,0.0367269277520088,0.882539724768638,+,0.0735,1.13398540368346,0.067972359,Labonte,19.8,1,-0.082,0.18,0.993,kynureninase,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Vascular and leptomeningeal cells,3.61264722925713,Peripheral sensory neurofilament neurons,5.61856084128691
PCDHA3,1.056e-07,protocadherin alpha 3,-++,++++--,Filtered_Out,0.0367872670282049,0.963517072719628,+,0.0736,1.13327247958338,0.067578583,Labonte,19.8,1,-0.082,0.18,0.0941,protocadherin alpha 3,midbrain raphe nuclei,midbrain raphe nuclei <  midbrain tegmentum  <  mesencephalon  < gray matter,midbrain raphe nuclei < midbrain tegmentum,Cholinergic and monoaminergic neurons,3.82520183583016,Cholinergic and monoaminergic neurons,3.76612977790557
ZKSCAN8,2.0086e-13,zinc finger with KRAB and SCAN domains 8,-++,+++-++,Filtered_Out,0.0370262297722874,0.97016050266316,+,0.0741,1.13046051244463,0.01659268,Labonte,19.9,1,-0.082,0.18,0.45,zinc finger with KRAB and SCAN domains 8,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Hindbrain neurons,4.01943544922757,Hindbrain neurons,4.10962598131774
PSORS1C1,1.7445e-08,psoriasis susceptibility 1 candidate 1,+--,Missing_P_Values,Filtered_Out,0.0372936001903943,0.653668720320338,+,0.0746,1.12733569371941,0.00605295462225945,Ramaker,20.1,1,-0.082,0.18,0.0512,psoriasis susceptibility 1 candidate 1,temporal pole superior aspect,temporal pole superior aspect <  temporal pole  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,temporal pole superior aspect <  temporal pole  < temporal lobe,Not_Available,Not_Available,Not_Available,Not_Available
TCTEX1D1,6.7014e-08,Tctex1 domain containing 1,+++,--+-++,Filtered_Out,0.0373220212585045,0.941722478601875,+,0.0746,1.12700484842435,0.0412735388472208,Ramaker,20.1,1,-0.082,0.18,0.518,Tctex1 domain containing 1,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Ependymal cells,5.49021351946159,Ependymal cells,5.78194929693987
PPP6C,1.0969e-06,protein phosphatase 6 catalytic subunit,+++,++++-+,----,0.0662201824684844,0.0380850311493833,-,0.0762,1.11821568920116,0.018971255,Ding,20.5,1,-0.082,0.18,0.577,protein phosphatase 6 catalytic subunit,reticular nucleus of thalamus,reticular nucleus of thalamus <  ventral thalamus  <  thalamus  <  diencephalon  < gray matter,reticular nucleus of thalamus < ventral thalamus,Cholinergic and monoaminergic neurons,3.92426142099383,Sympathetic cholinergic neurons,2.94432522454954
ZSCAN12,8.579e-11,zinc finger and SCAN domain containing 12,-++,-++++-,Filtered_Out,0.038656863021327,0.963279322747582,+,0.0773,1.11174339592139,0.01969796,Labonte,20.8,1,-0.082,0.18,0.374,zinc finger and SCAN domain containing 12,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Subcommissural organ hypendymal cells,2.51879530482849,Sympathetic cholinergic neurons,3.51776534571152
CELF2,7.5152e-08,CUGBP Elav-like family member 2,+++,------,+--+,0.378796351015705,0.038989876045251,-,0.078,1.10801814983408,0.035818179,Labonte,21,1,-0.082,0.18,0.948,CUGBP Elav-like family member 2,lateral group of nuclei ventral division,lateral group of nuclei ventral division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei ventral division <  lateral group of nuclei  < dorsal thalamus,Telencephalon projecting excitatory neurons,3.19408551876449,Telencephalon projecting excitatory neurons,3.45968749332584
CDH22,1.8821e-07,cadherin 22,+--,+---+-,++-+,0.605500842965899,0.040165598434768,-,0.0803,1.09511576235363,0.0430120768086173,Ramaker,21.6,1,-0.082,0.18,0.324,cadherin 22,IV,IV <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Cholinergic and monoaminergic neurons,4.41250955554672,Cholinergic and monoaminergic neurons,4.79293229388837
BTN2A1,6.6923e-12,butyrophilin subfamily 2 member A1,-+-,--+-++,-+--,0.969117375524237,0.0451461846609034,-,0.0903,1.04434895069935,0.007663015,Ding,24.3,1,-0.082,0.18,0.42,butyrophilin subfamily 2 member A1,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
FNIP2,7.2185e-07,folliculin interacting protein 2,--+,-+-++-,Not_Available,0.0472744632398506,0.837696556994727,+,0.0945,1.02434339782464,0.035121073,Labonte,25.4,1,-0.082,0.18,0.742,folliculin interacting protein 2,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Enteric glia,2.55076681065805,Sympathetic cholinergic neurons,2.74557029806866
TMEM258,5.5471e-07,transmembrane protein 258,---,+++-++,--+-,0.829767554344189,0.0476045691822566,-,0.0952,1.02132136515742,0.023539607,Not_Available,25.6,1,-0.082,0.18,0.218,transmembrane protein 258,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,2.45901448243735,Sympathetic noradrenergic neurons,4.05633443300144
TOP1,1.6562e-06,DNA topoisomerase I,---,----+-,+--+,0.985995645362693,0.0486724801405843,-,0.0973,1.01168652774677,0.047453352,Labonte,26.2,1,-0.082,0.18,0.618,DNA topoisomerase I,VIIIA,VIIIA <  posterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIA <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon projecting excitatory neurons,2.33332609832124,Enteric neurons,2.45826485904618
SORBS3,4.4593e-08,sorbin and SH3 domain containing 3,++-,----+-,+-++,0.295905095291936,0.0490260016852372,-,0.0981,1.00854352852497,0.018096816,Ding,26.4,1,-0.082,0.18,0.407,sorbin and SH3 domain containing 3,cuneate nucleus,cuneate nucleus <  myelencephalon  < gray matter,cuneate nucleus <  myelencephalon  < gray matter,Choroid epithelial cells,2.44984791056423,Choroid epithelial cells,2.69134398604954
UBE2M,8.888e-07,ubiquitin conjugating enzyme E2 M,++-,-+----,+---,0.90398586776063,0.0504418233728185,-,0.101,0.996179227258907,0.0338341902815388,Ramaker,27.1,1,-0.082,0.18,Not_Available,ubiquitin conjugating enzyme E2 M,parolfactory gyri,parolfactory gyri <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,parolfactory gyri < frontal lobe,Cholinergic and monoaminergic neurons,3.22987670847492,Peripheral sensory neurofilament neurons,3.17743122694966
HIST1H2BO,9.6505e-08,Not_Available,---,Not_Available,Filtered_Out,0.986804823187403,0.0523803445629634,-,0.105,0.97980165340638,0.110117664593699,Ramaker,28.2,1,-0.082,0.18,0.528,Not_Available,III paravermis,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Ependymal cells,4.29415142421203,Ependymal cells,4.47946094136428
GPC5,1.3483e-07,glypican 5,+++,++++-+,++--,0.0532917096792107,0.930418551589638,+,0.107,0.972310351043192,0.019750168,Labonte,28.7,1,-0.082,0.18,0.768,glypican 5,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Astrocytes,3.27197638308806,Peripheral sensory non-peptidergic neurons,4.29845432769986
RHOBTB1,1.5668e-06,Rho related BTB domain containing 1,---,++++++,+---,0.371347403887627,0.05333594907491,-,0.107,0.971949976882081,0.003864981,Ding,28.7,1,-0.082,0.18,0.884,Rho related BTB domain containing 1,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Pericytes,3.6627217371282,Pericytes,3.79887133588337
SGCZ,9.7578e-10,sarcoglycan zeta,--+,------,Filtered_Out,0.867807278603343,0.0551372910518346,-,0.11,0.957524579347917,0.076991652,Labonte,29.7,1,-0.082,0.18,0.271,sarcoglycan zeta,ventromedial hypothalamic nucleus,ventromedial hypothalamic nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,ventromedial hypothalamic nucleus < tuberal region,Cholinergic and monoaminergic neurons,3.49288894731675,Enteric neurons,2.99594245710222
ZMAT2,2.4426e-06,zinc finger matrin-type 2,++-,++++++,-+--,0.0594425280559125,0.25162101073956,+,0.119,0.924872732900703,0.028823408,Ding,32,1,-0.082,0.18,0.203,zinc finger matrin-type 2,putamen,putamen <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,putamen <  striatum  < basal ganglia,Telencephalon projecting excitatory neurons,2.96086767032053,Sympathetic cholinergic neurons,3.38506255416219
PCDHA5,4.2994e-07,protocadherin alpha 5,+++,+-----,Filtered_Out,0.618956233385499,0.0595219286976816,-,0.119,0.924293009063159,0.005902507,Labonte,32,1,-0.082,0.18,0.168,protocadherin alpha 5,midbrain raphe nuclei,midbrain raphe nuclei <  midbrain tegmentum  <  mesencephalon  < gray matter,midbrain raphe nuclei < midbrain tegmentum,Telencephalon projecting excitatory neurons,3.09301432512295,Telencephalon projecting excitatory neurons,3.15373800849243
FAM120AOS,2.4238e-06,family with sequence similarity 120A opposite strand,+++,+++++-,Not_Available,0.0600500937487516,0.989172504432248,+,0.12,0.92045631458654,0.036167336,Labonte,32.3,1,-0.082,0.18,0.504,family with sequence similarity 120A opposite strand,caudal group of intralaminar nuclei,caudal group of intralaminar nuclei <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,caudal group of intralaminar nuclei < dorsal thalamus,Not_Available,Not_Available,Not_Available,Not_Available
TAL1,5.7321e-07,"TAL bHLH transcription factor 1, erythroid differentiation factor",---,++++++,Filtered_Out,0.218982681972895,0.0605700747667966,-,0.121,0.916711894585757,0.031904579881847,Ramaker,32.6,1,-0.082,0.18,0.888,"TAL bHLH transcription factor 1, erythroid differentiation factor",superior olivary complex,superior olivary complex <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,superior olivary complex < pontine tegmentum,Di- and mesencephalon inhibitory neurons,4.97522784901096,Di- and mesencephalon inhibitory neurons,5.43065221780771
ESRRG,1.3144e-07,estrogen related receptor gamma,+-+,-+---+,-+--,0.803110801882766,0.0611806420401964,-,0.122,0.912355974102341,0.004561798,Ding,32.9,1,-0.082,0.18,0.79,estrogen related receptor gamma,pontine nuclei,pontine nuclei <  basal part of pons  <  pons  <  metencephalon  < gray matter,pontine nuclei < basal part of pons,Hindbrain neurons,5.40182093186018,Hindbrain neurons,5.83466932445449
PQLC2L,7.0543e-09,Not_Available,+++,--+--+,Filtered_Out,0.110212181052286,0.0611969814778148,-,0.122,0.912240003103179,0.00566483,Labonte,32.9,1,-0.082,0.18,0.761,Not_Available,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Not_Available,Not_Available,Not_Available,Not_Available
TTC12,8.3834e-09,tetratricopeptide repeat domain 12,++-,+++-++,Filtered_Out,0.0665156531873789,0.987643254141056,+,0.133,0.876046144101493,0.0525867435450556,Ramaker,35.8,1,-0.082,0.18,0.704,tetratricopeptide repeat domain 12,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Ependymal cells,5.46313766641445,Ependymal cells,5.77921636202419
HMGN4,1.0652e-06,high mobility group nucleosomal binding domain 4,+++,+++---,----,0.948791412014445,0.0666166361588071,-,0.133,0.875387305349696,0.03756133,Ding,35.8,1,-0.082,0.18,0.208,high mobility group nucleosomal binding domain 4,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Not_Available,Not_Available,Not_Available,Not_Available
ITGB6,2.0305e-06,integrin subunit beta 6,+++,Missing_P_Values,Filtered_Out,0.0681310560030131,0.98539845486179,+,0.136,0.86562488396073,0.163263149778796,Ramaker,36.7,1,-0.082,0.18,0.971,integrin subunit beta 6,bed nucleus of stria terminalis,bed nucleus of stria terminalis <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter,bed nucleus of stria terminalis <  substantia innominata  < basal forebrain,Choroid epithelial cells,5.16795646015945,Enteric neurons,5.12420563011828
OLFM4,1.6991e-12,olfactomedin 4,+++,++-+++,Filtered_Out,0.0705638759188192,0.99238888691437,+,0.141,0.850387576714453,0.068422169,Labonte,38,1,-0.082,0.18,0.99,olfactomedin 4,supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Peptidergic neurons,4.1737192292522,Peptidergic neurons,4.56491232412
ITPR3,1.551e-06,"inositol 1,4,5-trisphosphate receptor type 3",+++,++--+-,Filtered_Out,0.073065895978105,0.947723550817135,+,0.146,0.835255290094921,0.0880211534703778,Ramaker,39.3,1,-0.082,0.18,0.733,"inositol 1,4,5-trisphosphate receptor type 3",supraoptic nucleus,supraoptic nucleus <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,supraoptic nucleus < anterior hypothalamic region,Satellite glia,3.93754857362934,Satellite glia,4.27437577594778
PROX2,7.5512e-10,prospero homeobox 2,---,Missing_P_Values,Not_Available,0.912788318046169,0.073859795429296,-,0.148,0.830561903892044,0.0432120704632707,Ramaker,39.7,1,-0.082,0.18,0.148,prospero homeobox 2,globose nucleus,globose nucleus <  cerebellar nuclei  <  cerebellum  <  metencephalon  < gray matter,globose nucleus < cerebellar nuclei,Olfactory ensheathing cells,4.22036091305781,Olfactory ensheathing cells,4.28919804920121
SHISA9,8.9846e-17,shisa family member 9,++-,---+--,Not_Available,0.885051756031265,0.0750557029098505,-,0.15,0.823586307780952,0.027790087,Labonte,40.4,1,-0.082,0.18,0.755,shisa family member 9,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Glutamatergic neuroblasts,3.68661985995387,Glutamatergic neuroblasts,3.55297161097771
PCDHA6,6.7865e-07,protocadherin alpha 6,+++,+-++++,Filtered_Out,0.0773384036536562,0.99534346713815,+,0.155,0.810574800803308,0.0693837433552444,Ramaker,41.6,1,-0.082,0.18,0.054,protocadherin alpha 6,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,4.77894434775695,Cholinergic and monoaminergic neurons,5.12142141974706
HARS,2.1021e-07,Not_Available,++-,+-+---,++++,0.0781797060545076,0.748301619802781,+,0.156,0.805875971127298,0.0659319330802507,Ramaker,42.1,1,-0.082,0.18,0.113,Not_Available,dorsal lateral geniculate nucleus,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Cholinergic and monoaminergic neurons,3.1938081342907,Sympathetic noradrenergic neurons,3.50987465853632
STK19,7.0576e-07,serine/threonine kinase 19,+--,------,+--+,0.594319522499941,0.0787317037544239,-,0.157,0.802820354657765,0.065077223,Labonte,42.4,1,-0.082,0.18,0.0751,serine/threonine kinase 19,VIIIB paravermis,VIIIB paravermis <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB paravermis <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Telencephalon projecting excitatory neurons,2.41234475480233,Sympathetic cholinergic neurons,3.45701413647564
SOX5,3.7918e-09,SRY-box transcription factor 5,+-+,------,Filtered_Out,0.55977144373744,0.0792476730605609,-,0.158,0.799983485393166,0.110074185159413,Ramaker,42.6,1,-0.082,0.18,0.654,SRY-box transcription factor 5,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Telencephalon projecting excitatory neurons,3.00573519111546,Telencephalon projecting excitatory neurons,3.23285881562931
ZHX3,2.344e-07,zinc fingers and homeoboxes 3,+++,------,--++,0.303540918651115,0.0837077051977656,-,0.167,0.776204568196353,0.017922949,Labonte,45,1,-0.082,0.18,0.409,zinc fingers and homeoboxes 3,globus pallidus internal segment,globus pallidus internal segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus internal segment <  globus pallidus  < basal ganglia,Cholinergic and monoaminergic neurons,2.85813733182106,Cholinergic and monoaminergic neurons,2.14018429531549
TAOK3,1.4896e-08,TAO kinase 3,---,+-----,-+-+,0.833170406982479,0.0849764994510931,-,0.17,0.76967116767886,0.027363222,Labonte,45.7,1,-0.082,0.18,0.531,TAO kinase 3,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Cholinergic and monoaminergic neurons,2.87097751733794,Peripheral sensory non-peptidergic neurons,2.71069151956007
GRIK5,2.0552e-07,glutamate ionotropic receptor kainate type subunit 5,++-,------,++++,0.0854110138122393,0.144677435494977,+,0.171,0.767456127447178,0.076827027,Labonte,46,1,-0.082,0.18,0.327,glutamate ionotropic receptor kainate type subunit 5,CA3 field,CA3 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA3 field <  hippocampal formation  < limbic lobe,Telencephalon projecting excitatory neurons,2.8686453598307,Telencephalon projecting excitatory neurons,2.66933952447768
MIER1,2.6167e-06,MIER1 transcriptional regulator,-++,++++++,Filtered_Out,0.0871882437865015,0.899859729900745,+,0.174,0.758512074482021,0.0804521990176264,Ramaker,46.9,1,-0.082,0.18,0.398,MIER1 transcriptional regulator,globus pallidus external segment,globus pallidus external segment <  globus pallidus  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,globus pallidus external segment <  globus pallidus  < basal ganglia,Pericytes,2.90738502916842,Enteric neurons,3.30656856842405
NICN1,5.9884e-07,nicolin 1,+--,+-----,-+-+,0.880721437609837,0.089414670835445,-,0.179,0.747561222227497,0.016099719,Ding,48.1,1,-0.082,0.18,0.231,nicolin 1,fusiform gyrus bank of cos,fusiform gyrus bank of cos <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,fusiform gyrus bank of cos <  fusiform gyrus  < temporal lobe,Cholinergic and monoaminergic neurons,3.71992601052375,Sympathetic noradrenergic neurons,2.48723259765726
INPP4B,3.7112e-07,inositol polyphosphate-4-phosphatase type II B,-++,-+----,-+--,0.87353536211837,0.0899505705327092,-,0.18,0.744966082030529,0.040038563,Labonte,48.4,1,-0.082,0.18,0.888,inositol polyphosphate-4-phosphatase type II B,basal nucleus of meynert,basal nucleus of meynert <  substantia innominata  <  basal forebrain  <  cerebral nuclei  <  telencephalon  < gray matter,basal nucleus of meynert <  substantia innominata  < basal forebrain,Cholinergic and monoaminergic neurons,2.85253423089451,Cholinergic and monoaminergic neurons,3.10686119920757
FCF1,4.3278e-08,FCF1 rRNA-processing protein,---,++++++,Filtered_Out,0.0916692776247578,0.660471243478835,+,0.183,0.736746195314042,0.050312127,Labonte,49.3,1,-0.082,0.18,0.395,FCF1 rRNA-processing protein,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,1.82468136186401,Sympathetic noradrenergic neurons,4.46050743918228
ZNF638,1.8282e-07,zinc finger protein 638,--+,+++-+-,Not_Available,0.435792976318432,0.0925960664011572,-,0.185,0.732377466644983,0.0111095176857268,Ramaker,49.8,1,-0.082,0.18,0.685,zinc finger protein 638,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,Not_Available,Not_Available,Not_Available
