gene_symbol,Howard.pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_direction,meta_p,Bonferroni_meta_p,slim_region_location,cell_type_taxon,DE_Prior_Rank
FNIP2,7.22e-07,folliculin interacting protein 2,-+++,-+-+--+-,Not_Available,+,0.284,1,corpus callosum < telencephalic commissures,Sympathetic cholinergic neurons,0.742
CTNNA3,1.69e-10,catenin alpha 3,----,-+++---+,Filtered_Out,-,0.288,1,corpus callosum < telencephalic commissures,Schwann cells,0.707
ZSCAN12,8.58e-11,zinc finger and SCAN domain containing 12,-++-,-++++++-,Filtered_Out,+,0.291,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Sympathetic cholinergic neurons,0.374
LTBP3,8.14e-07,latent transforming growth factor beta binding protein 3,----,----++-+,+-+--+,-,0.292,1,central glial substance <  myelencephalon  < gray matter,Choroid epithelial cells,0.827
RAB27B,1.39e-09,"RAB27B, member RAS oncogene family",++++,++-++++-,Filtered_Out,+,0.294,1,parahippocampal gyrus lateral bank of gyrus <  parahippocampal gyrus  < limbic lobe,Peripheral sensory non-peptidergic neurons,0.948
TRMT61A,3.68e-09,tRNA methyltransferase 61A,+-+-,+++--++-,Not_Available,+,0.296,1,central glial substance <  myelencephalon  < gray matter,Sympathetic cholinergic neurons,0.267
LRFN5,2.04e-12,leucine rich repeat and fibronectin type III domain containing 5,++++,----+---,++++--,-,0.306,1,dentate gyrus <  hippocampal formation  < limbic lobe,Peripheral sensory non-peptidergic neurons,0.77
AP3B1,3.15e-07,adaptor related protein complex 3 subunit beta 1,-+--,++++---+,----+-,-,0.31,1,corpus callosum < telencephalic commissures,Sympathetic noradrenergic neurons,0.379
HIST1H3J,1.09e-14,histone cluster 1 H3 family member j,-+--,Not_Available,Filtered_Out,-,0.311,1,VI <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Non-glutamatergic neuroblasts,0.0751
RHOBTB1,1.57e-06,Rho related BTB domain containing 1,--++,++++--+-,+-----,-,0.316,1,central glial substance <  myelencephalon  < gray matter,Pericytes,0.884
BTN1A1,7.4e-09,butyrophilin subfamily 1 member A1,++-+,Not_Available,Filtered_Out,+,0.316,1,CA2 field <  hippocampal formation  < limbic lobe,Di- and mesencephalon inhibitory neurons,0.0995
PCDHA4,3.57e-07,protocadherin alpha 4,++-+,+++++--+,Not_Available,+,0.318,1,midbrain raphe nuclei < midbrain tegmentum,Enteric neurons,Not_Available
NICN1,5.99e-07,nicolin 1,+---,+---++++,-++---,-,0.323,1,fusiform gyrus bank of cos <  fusiform gyrus  < temporal lobe,Sympathetic noradrenergic neurons,0.231
TMEM161B,4.77e-14,transmembrane protein 161B,++++,+++-----,+---++,-,0.332,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Hindbrain neurons,0.572
PRR34,5.59e-08,PRR34 long non-coding RNA,----,+-+++-++,Filtered_Out,-,0.332,1,Not_Available,Not_Available,0.233
EYS,1.32e-06,eyes shut homolog,++-+,+--++++-,Not_Available,+,0.335,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,0.00999
PMFBP1,3.65e-07,polyamine modulated factor 1 binding protein 1,++-+,+-+-+--+,Filtered_Out,-,0.343,1,locus ceruleus < pontine tegmentum,Peripheral sensory neurofilament neurons,0.356
TYR,6.97e-09,tyrosinase,+--+,Not_Available,Filtered_Out,+,0.345,1,inferior temporal gyrus lateral bank of gyrus <  inferior temporal gyrus  < temporal lobe,Spinal cord inhibitory neurons,0.504
EMILIN3,3.37e-09,elastin microfibril interfacer 3,++++,----++++,-++---,+,0.35,1,cuneus striate <  cuneus  < occipital lobe,Peripheral sensory peptidergic neurons,0.351
DRD2,5.35e-14,dopamine receptor D2,+-++,--+++--+,Not_Available,-,0.359,1,substantia nigra pars compacta < substantia nigra,Telencephalon projecting inhibitory neurons,0.439
ACTL8,6.06e-07,actin like 8,+-+-,Not_Available,Filtered_Out,-,0.364,1,globose nucleus < cerebellar nuclei,Not_Available,0.466
STK19,7.06e-07,serine/threonine kinase 19,+---,-----+-+,+-++-+,+,0.367,1,VIIIB paravermis <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Sympathetic cholinergic neurons,0.0751
GPC5,1.35e-07,glypican 5,++-+,++++----,++-+-+,-,0.376,1,pontine nuclei < basal part of pons,Peripheral sensory non-peptidergic neurons,0.768
DENND1B,1.45e-08,DENN domain containing 1B,++++,-++-++--,+-+-+-,-,0.384,1,abducens nucleus < pontine tegmentum,Hindbrain neurons,0.879
TAOK3,1.49e-08,TAO kinase 3,----,+---++--,-+++--,-,0.386,1,globus pallidus external segment <  globus pallidus  < basal ganglia,Peripheral sensory non-peptidergic neurons,0.531
ZKSCAN3,1.16e-08,zinc finger with KRAB and SCAN domains 3,++-+,+-+-+-++,Filtered_Out,+,0.386,1,CA3 field <  hippocampal formation  < limbic lobe,Enteric neurons,0.289
HIST1H2AL,3.49e-11,histone cluster 1 H2A family member l,+++-,Not_Available,Not_Available,+,0.387,1,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Non-glutamatergic neuroblasts,0.443
DCDC5,2.49e-09,doublecortin domain containing 1,++-+,+++++---,Filtered_Out,+,0.387,1,central glial substance <  myelencephalon  < gray matter,Not_Available,0.306
DCDC1,7.46e-09,doublecortin domain containing 1,++-+,+++++---,Filtered_Out,+,0.387,1,central glial substance <  myelencephalon  < gray matter,Not_Available,Not_Available
RPS6KL1,1.01e-07,ribosomal protein S6 kinase like 1,+-+-,----++++,--++--,-,0.39,1,V <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Sympathetic noradrenergic neurons,0.242
PCDHA7,2.25e-06,protocadherin alpha 7,-+++,-+----+-,Not_Available,+,0.391,1,midbrain raphe nuclei < midbrain tegmentum,Hindbrain neurons,Not_Available
RFWD2,7e-09,COP1 E3 ubiquitin ligase,+++-,-++-+++-,+-++--,+,0.403,1,dentate gyrus <  hippocampal formation  < limbic lobe,Peripheral sensory neurofilament neurons,0.202
PCDHA1,5.44e-08,protocadherin alpha 1,+---,---+----,Not_Available,-,0.409,1,midbrain raphe nuclei < midbrain tegmentum,Sympathetic cholinergic neurons,Not_Available
CABP1,1.01e-08,calcium binding protein 1,+-+-,-+--++++,+++---,+,0.415,1,postcentral gyrus bank of the central sulcus <  postcentral gyrus  < parietal lobe,Not_Available,0.769
SGCZ,9.76e-10,sarcoglycan zeta,-+++,----++++,Filtered_Out,+,0.418,1,ventromedial hypothalamic nucleus < tuberal region,Enteric neurons,0.271
MICB,2.62e-07,MHC class I polypeptide-related sequence B,----,++-+++-+,Filtered_Out,+,0.42,1,dentate gyrus <  hippocampal formation  < limbic lobe,Sympathetic noradrenergic neurons,0.774
CSMD1,3.31e-07,CUB and Sushi multiple domains 1,-+++,-+--+++-,+-+---,-,0.422,1,dentate gyrus <  hippocampal formation  < limbic lobe,Peripheral sensory non-peptidergic neurons,0.832
FCF1,4.33e-08,FCF1 rRNA-processing protein,----,+++++-++,Filtered_Out,+,0.429,1,central glial substance <  myelencephalon  < gray matter,Sympathetic noradrenergic neurons,0.395
IQCJ-SCHIP1,1.37e-07,IQCJ-SCHIP1 readthrough,--++,----+++-,Not_Available,-,0.457,1,CA3 field <  hippocampal formation  < limbic lobe,Not_Available,Not_Available
ATP1A3,2.03e-06,ATPase Na+/K+ transporting subunit alpha 3,+-++,---+++++,+-+++-,+,0.459,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Hindbrain neurons,0.602
ZNF35,4.66e-07,zinc finger protein 35,-+--,-++-+---,-+--+-,-,0.461,1,zona incerta <  ventral thalamus  < thalamus,Sympathetic cholinergic neurons,0.151
PHF2,2.32e-06,PHD finger protein 2,-+--,--+-++++,++----,+,0.463,1,central glial substance <  myelencephalon  < gray matter,Enteric neurons,0.125
CRB1,2.5e-07,crumbs cell polarity complex component 1,++-+,+++-----,++-+-+,-,0.464,1,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,0.623
CNTNAP5,3.89e-09,contactin associated protein like 5,-+-+,-+-+++++,Filtered_Out,+,0.466,1,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Enteric neurons,0.391
EP300,2.3e-07,E1A binding protein p300,-+-+,----++-+,-+++--,-,0.468,1,IV <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Enteric neurons,0.245
PSEN2,2.68e-06,presenilin 2,+++-,+++-++++,++---+,+,0.48,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Sympathetic cholinergic neurons,0.438
PROX2,7.55e-10,prospero homeobox 2,---+,Missing_P_Values,Not_Available,-,0.489,1,globose nucleus < cerebellar nuclei,Olfactory ensheathing cells,0.148
ESRRG,1.31e-07,estrogen related receptor gamma,+++-,-+------,-+-+--,-,0.492,1,pontine nuclei < basal part of pons,Hindbrain neurons,0.79
SDK1,9.19e-09,sidekick cell adhesion molecule 1,-+++,----++++,Filtered_Out,-,0.506,1,CA3 field <  hippocampal formation  < limbic lobe,Peripheral sensory peptidergic neurons,0.705
CACNA2D1,2.52e-06,calcium voltage-gated channel auxiliary subunit alpha2delta 1,-+++,++-++-+-,----++,+,0.51,1,dentate gyrus <  hippocampal formation  < limbic lobe,Enteric neurons,0.899
ZNF197,2.28e-10,zinc finger protein 197,-+-+,--+-----,Filtered_Out,-,0.517,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,0.249
MEGF11,1.78e-10,multiple EGF like domains 11,++-+,+++-++--,Filtered_Out,+,0.518,1,lateral mammillary nucleus <  mammillary body  < mammillary region,Oligodendrocyte precursor cells,0.84
BTN3A3,6.6e-08,butyrophilin subfamily 3 member A3,+-+-,++++++-+,+--+++,+,0.52,1,supraoptic nucleus < anterior hypothalamic region,Not_Available,0.829
MIER1,2.62e-06,MIER1 transcriptional regulator,-+--,++++----,Filtered_Out,-,0.522,1,globus pallidus external segment <  globus pallidus  < basal ganglia,Enteric neurons,0.398
HSPE1-MOB4,2.29e-07,HSPE1-MOB4 readthrough,+++-,Not_Available,Not_Available,+,0.537,1,medial mammillary nucleus <  mammillary body  < mammillary region,Not_Available,Not_Available
ASTN2,2.19e-11,astrotactin 2,++--,--+---++,-++++-,-,0.538,1,central glial substance <  myelencephalon  < gray matter,Enteric neurons,0.744
PCDHA2,4.57e-08,protocadherin alpha 2,-+-+,-++----+,Filtered_Out,-,0.547,1,midbrain raphe nuclei < midbrain tegmentum,Spinal cord inhibitory neurons,0.631
ERBB4,1.29e-13,erb-b2 receptor tyrosine kinase 4,-+++,++--++--,+-+++-,+,0.556,1,substantia nigra pars compacta < substantia nigra,Telencephalon inhibitory interneurons,0.894
GRIK5,2.06e-07,glutamate ionotropic receptor kainate type subunit 5,+-++,----++++,++++--,+,0.558,1,CA3 field <  hippocampal formation  < limbic lobe,Telencephalon projecting excitatory neurons,0.327
SORBS3,4.46e-08,sorbin and SH3 domain containing 3,+---,----++++,+-+-+-,-,0.581,1,cuneate nucleus <  myelencephalon  < gray matter,Choroid epithelial cells,0.407
FAM172A,7.75e-10,family with sequence similarity 172 member A,-+-+,++-++-+-,Not_Available,+,0.581,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Peripheral sensory non-peptidergic neurons,0.505
RAB3B,1.61e-06,"RAB3B, member RAS oncogene family",-+-+,+-+----+,++-+-+,-,0.585,1,nucleus of the diagonal band horizontal division <  nucleus of the diagonal band  <  substantia innominata  < basal forebrain,Sympathetic noradrenergic neurons,0.954
TRMT10C,1.08e-07,"tRNA methyltransferase 10C, mitochondrial RNase P subunit",--+-,++++--+-,++--+-,+,0.591,1,subthalamic nucleus < subthalamus,Sympathetic noradrenergic neurons,0.618
PLCG1,2.94e-07,phospholipase C gamma 1,--+-,+---++++,---++-,-,0.594,1,VIIIA lateral hemisphere <  VIIIA  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,0.252
PCLO,6.57e-13,piccolo presynaptic cytomatrix protein,-+-+,-----+++,Not_Available,-,0.597,1,CA3 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,0.829
CACNA1E,2.86e-11,calcium voltage-gated channel subunit alpha1 E,-+-+,---+----,+-+-+-,-,0.604,1,inferior olivary complex <  myelencephalon  < gray matter,Telencephalon projecting excitatory neurons,0.753
GRM8,1.8e-12,glutamate metabotropic receptor 8,+-++,----+---,++---+,-,0.613,1,pontine nuclei < basal part of pons,Hindbrain neurons,0.571
FANCL,4.58e-07,FA complementation group L,---+,++++----,----++,-,0.617,1,corpus callosum < telencephalic commissures,Sympathetic noradrenergic neurons,0.696
ZSCAN31,1.82e-10,zinc finger and SCAN domain containing 31,-+--,++----+-,++-+++,+,0.618,1,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Not_Available,0.551
GRM5,6.21e-17,glutamate metabotropic receptor 5,++++,-+-+----,Filtered_Out,+,0.629,1,septal nuclei < basal forebrain,Spinal cord inhibitory neurons,0.708
PRR16,1.19e-06,proline rich 16,+++-,-++-----,Filtered_Out,+,0.64,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Spinal cord excitatory neurons,0.87
ESR2,2.67e-09,estrogen receptor 2,++-+,+-+++---,Filtered_Out,+,0.642,1,paraventricular nucleus of the hypothalamus < anterior hypothalamic region,Cholinergic and monoaminergic neurons,0.399
HLA-DQA1,6.06e-07,"major histocompatibility complex, class II, DQ alpha 1",----,+++-+-++,Not_Available,-,0.645,1,supraoptic nucleus < anterior hypothalamic region,Perivascular macrophages,0.999
TCAIM,1.4e-07,"T cell activation inhibitor, mitochondrial",-+++,-++-++--,-++-++,+,0.649,1,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Peripheral sensory neurofilament neurons,0.608
BSN,1.61e-06,bassoon presynaptic cytomatrix protein,++++,----++++,++++--,-,0.661,1,CA3 field <  hippocampal formation  < limbic lobe,Telencephalon projecting excitatory neurons,0.646
LIN28B,6.57e-10,lin-28 homolog B,++++,-+--+---,Filtered_Out,-,0.665,1,preoptic region < hypothalamus,Cholinergic and monoaminergic neurons,0.913
RBMS3,7.31e-07,RNA binding motif single stranded interacting protein 3,-+-+,++--++--,Filtered_Out,+,0.676,1,medial mammillary nucleus <  mammillary body  < mammillary region,Enteric neurons,0.927
DCC,2.57e-14,DCC netrin 1 receptor,++++,-----+--,Filtered_Out,-,0.688,1,CA3 field <  hippocampal formation  < limbic lobe,Telencephalon projecting inhibitory neurons,0.787
SORCS3,2.27e-19,sortilin related VPS10 domain containing receptor 3,-+++,+-++----,+-----,-,0.69,1,claustrum < cerebral nuclei,Cholinergic and monoaminergic neurons,0.601
MYBPC3,1.39e-06,"myosin binding protein C, cardiac",-++-,Not_Available,++-++-,-,0.697,1,motor nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Cerebellum neurons,0.231
ZSCAN16,6.65e-13,zinc finger and SCAN domain containing 16,----,+++-+-+-,Filtered_Out,-,0.708,1,corpus callosum < telencephalic commissures,Not_Available,0.612
MOB4,6.09e-07,"MOB family member 4, phocein",-+++,++++----,Not_Available,+,0.724,1,medial geniculate complex < dorsal thalamus,Sympathetic noradrenergic neurons,Not_Available
SLC17A3,1.67e-07,solute carrier family 17 member 3,-+-+,Not_Available,Filtered_Out,-,0.744,1,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Telencephalon projecting excitatory neurons,0.541
ANKK1,5.17e-09,ankyrin repeat and kinase domain containing 1,+---,Missing_P_Values,Filtered_Out,-,0.765,1,IV <  anterior lobe of the vermis  <  vermis  < cerebellar cortex,Ependymal cells,Not_Available
SCAI,1.19e-07,suppressor of cancer cell invasion,-+++,-+-+--+-,Not_Available,-,0.773,1,cuneus striate <  cuneus  < occipital lobe,Cholinergic and monoaminergic neurons,0.677
OTX2,8.91e-07,orthodenticle homeobox 2,-+--,Missing_P_Values,Filtered_Out,-,0.793,1,superior colliculus < midbrain tectum,Choroid epithelial cells,0.728
CELF4,8.75e-10,CUGBP Elav-like family member 4,+--+,+----+++,-+-+-+,-,0.8,1,dentate gyrus <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,0.739
TAL1,5.73e-07,"TAL bHLH transcription factor 1, erythroid differentiation factor",---+,++++++++,Filtered_Out,+,0.809,1,superior olivary complex < pontine tegmentum,Di- and mesencephalon inhibitory neurons,0.888
ABT1,1.16e-07,activator of basal transcription 1,+-++,-++--+++,+--+--,+,0.824,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Sympathetic cholinergic neurons,0.116
TENM2,2.77e-14,teneurin transmembrane protein 2,++-+,----+++-,+++--+,-,0.824,1,cuneus striate <  cuneus  < occipital lobe,Cholinergic and monoaminergic neurons,0.975
LRP1B,2.73e-09,LDL receptor related protein 1B,++-+,++----+-,-++++-,+,0.838,1,parolfactory gyri < frontal lobe,Dentate gyrus granule neurons,0.865
KIF15,3.68e-08,kinesin family member 15,+--+,+++-+-+-,Filtered_Out,+,0.845,1,lingual gyrus striate <  lingual gyrus  < occipital lobe,Oligodendrocyte precursor cells,0.953
PSORS1C2,2.98e-07,psoriasis susceptibility 1 candidate 2,+-+-,Not_Available,Filtered_Out,-,0.852,1,lateral parabrachial nucleus < pontine tegmentum,Vascular endothelial cells,0.622
CNTN5,3.66e-07,contactin 5,-+++,++-++++-,Filtered_Out,+,0.863,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Enteric neurons,0.584
SHISA9,8.98e-17,shisa family member 9,+-++,---++-+-,Not_Available,-,0.863,1,lateral mammillary nucleus <  mammillary body  < mammillary region,Glutamatergic neuroblasts,0.755
HIST1H4L,6.17e-11,histone cluster 1 H4 family member l,--+-,Not_Available,Filtered_Out,-,0.869,1,III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric neurons,0.187
CCDC36,6.57e-07,coiled-coil domain containing 36,--++,+++--+-+,Filtered_Out,+,0.903,1,globose nucleus < cerebellar nuclei,Spinal cord inhibitory neurons,0.054
TCTEX1D1,6.7e-08,Tctex1 domain containing 1,++++,--+-++--,Filtered_Out,+,0.903,1,central glial substance <  myelencephalon  < gray matter,Ependymal cells,0.518
TMEM67,3.38e-07,transmembrane protein 67,+--+,+++-++--,Filtered_Out,-,0.923,1,central glial substance <  myelencephalon  < gray matter,Ependymal cells,0.566
HMGN4,1.07e-06,high mobility group nucleosomal binding domain 4,++++,+++-+---,---+-+,-,0.926,1,lateral mammillary nucleus <  mammillary body  < mammillary region,Not_Available,0.208
PAX5,6.67e-10,paired box 5,++++,Missing_P_Values,Filtered_Out,+,0.936,1,subcuneiform nucleus < midbrain reticular formation,Cholinergic and monoaminergic neurons,0.983
LPIN3,1.01e-06,lipin 3,+---,--++-+++,Filtered_Out,+,0.964,1,oculomotor nuclear complex < midbrain tegmentum,Vascular and leptomeningeal cells,0.0659
SLC44A4,7.98e-07,solute carrier family 44 member 4,+---,Not_Available,Filtered_Out,-,0.991,1,central glial substance <  myelencephalon  < gray matter,Subcommissural organ hypendymal cells,0.863
ZSCAN26,8.51e-12,zinc finger and SCAN domain containing 26,-+++,++--+++-,---+++,-,1,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Hindbrain neurons,0.22
SIM1,1.47e-06,SIM bHLH transcription factor 1,++-+,Not_Available,Filtered_Out,-,1,1,paraventricular nucleus of the hypothalamus < anterior hypothalamic region,Peptidergic neurons,0.05
ITGB6,2.03e-06,integrin subunit beta 6,++--,Missing_P_Values,Filtered_Out,-,1,1,bed nucleus of stria terminalis <  substantia innominata  < basal forebrain,Enteric neurons,0.971
PGBD1,5.95e-14,piggyBac transposable element derived 1,++--,+++-+---,---++-,+,1,1,VIIB <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Cholinergic and monoaminergic neurons,0.438
SPPL3,2.85e-10,signal peptide peptidase like 3,-++-,++-----+,Not_Available,-,1,1,corpus callosum < telencephalic commissures,Peripheral sensory neurofilament neurons,0.373
ZKSCAN7,5.11e-10,zinc finger with KRAB and SCAN domains 7,++++,+-+-+---,Filtered_Out,+,1,1,IX <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Hindbrain neurons,0.788
NRG1,9.64e-10,neuregulin 1,+++-,-------+,+++++-,+,1,1,basal nucleus of meynert <  substantia innominata  < basal forebrain,Not_Available,0.928
GPC6,1.6e-09,glypican 6,-+++,+++-+---,--++-+,+,1,1,locus ceruleus < pontine tegmentum,Enteric neurons,0.914
XRCC3,3.79e-09,X-ray repair cross complementing 3,----,-+--++++,Filtered_Out,-,1,1,IX <  posterior lobe of the vermis  <  vermis  < cerebellar cortex,Oligodendrocytes,0.396
TTC12,8.38e-09,tetratricopeptide repeat domain 12,+---,+++-++-+,Filtered_Out,-,1,1,central glial substance <  myelencephalon  < gray matter,Ependymal cells,0.704
APOPT1,9.26e-09,"apoptogenic 1, mitochondrial",+---,+-+-+-++,Not_Available,-,1,1,supramarginal gyrus superior bank of gyrus <  supramarginal gyrus  <  inferior parietal lobule  < parietal lobe,Sympathetic cholinergic neurons,0.261
NKAPL,3.84e-08,NFKB activating protein like,--+-,+-+----+,Filtered_Out,+,1,1,principal sensory nucleus of trigeminal nerve <  trigeminal nuclei  < pontine tegmentum,Ependymal cells,0.311
ELAVL2,9e-08,ELAV like RNA binding protein 2,++++,------+-,---+-+,-,1,1,substantia nigra pars compacta < substantia nigra,Cholinergic and monoaminergic neurons,0.926
FHIT,2.74e-07,fragile histidine triad,--+-,-++-+---,++----,-,1,1,zona incerta <  ventral thalamus  < thalamus,Choroid epithelial cells,0.884
ASIC2,3.77e-07,acid sensing ion channel subunit 2,+++-,---+-+++,Filtered_Out,-,1,1,nucleus of the diagonal band horizontal division <  nucleus of the diagonal band  <  substantia innominata  < basal forebrain,Peripheral sensory non-peptidergic neurons,0.365
PCDHA5,4.3e-07,protocadherin alpha 5,++++,+---+-+-,Filtered_Out,-,1,1,midbrain raphe nuclei < midbrain tegmentum,Telencephalon projecting excitatory neurons,0.168
PCDHA6,6.79e-07,protocadherin alpha 6,++++,+-++----,Filtered_Out,-,1,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,0.054
HTT,8.85e-07,huntingtin,++++,----++++,Not_Available,+,1,1,dorsal lateral geniculate nucleus <  dorsal lateral geneiculate nucleus  < dorsal thalamus,Cholinergic and monoaminergic neurons,0.321
ANKHD1,2.08e-06,ankyrin repeat and KH domain containing 1,-+--,+-+--+--,Filtered_Out,-,1,1,IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric neurons,Not_Available
IK,2.32e-06,IK cytokine,+-+-,+-+-++++,+-+-++,-,1,1,central glial substance <  myelencephalon  < gray matter,Sympathetic cholinergic neurons,0.161
ANKHD1-EIF4EBP3,2.53e-06,ANKHD1-EIF4EBP3 readthrough,-++-,--+-+---,Not_Available,-,1,1,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric neurons,Not_Available
